N,m,\textbf{1},\textbf{2},\textbf{3},\textbf{4},\textbf{5}
50,3.5,28.4 (4.1),29.8 (4.1),30.7 (4.0),31.4 (4.1),31.8 (3.7)
10,3.6,26.2 (3.9),27.6 (3.5),28.0 (3.3),28.7 (3.1),28.6 (2.9)
20,3.6,27.6 (4.0),29.0 (4.0),29.8 (3.9),30.4 (3.9),30.8 (3.6)
30,3.6,27.7 (4.0),29.1 (4.0),30.0 (3.9),30.6 (4.0),31.0 (3.6)
40,3.6,27.8 (4.0),29.1 (4.0),30.1 (3.9),30.7 (4.0),31.0 (3.6)
50,3.6,27.8 (4.0),29.1 (4.0),30.1 (3.9),30.7 (4.0),31.0 (3.6)
10,3.7,25.9 (3.8),27.2 (3.5),27.5 (3.2),28.2 (3.0),28.1 (2.8)
20,3.7,27.0 (3.9),28.4 (3.9),29.2 (3.8),29.8 (3.8),30.1 (3.5)
30,3.7,27.2 (4.0),28.5 (3.9),29.4 (3.8),30.0 (3.9),30.2 (3.5)
40,3.7,27.2 (4.0),28.5 (3.9),29.4 (3.8),30.0 (3.9),30.2 (3.5)
50,3.7,27.2 (3.9),28.5 (3.9),29.4 (3.8),30.0 (3.9),30.3 (3.5)
10,3.8,25.5 (3.8),26.8 (3.4),27.0 (3.2),27.8 (2.9),27.7 (2.8)
20,3.8,26.5 (3.9),27.8 (3.8),28.6 (3.7),29.2 (3.7),29.3 (3.4)
30,3.8,26.6 (3.9),28.0 (3.8),28.8 (3.7),29.4 (3.7),29.5 (3.4)
40,3.8,26.6 (3.9),28.0 (3.8),28.8 (3.7),29.4 (3.7),29.5 (3.4)
50,3.8,26.7 (3.9),28.0 (3.8),28.8 (3.7),29.4 (3.7),29.5 (3.4)
10,3.9,25.2 (3.7),26.4 (3.3),26.6 (3.1),27.4 (2.9),27.3 (2.7)
20,3.9,26.0 (3.8),27.3 (3.7),28.0 (3.6),28.7 (3.5),28.7 (3.2)
30,3.9,26.1 (3.8),27.4 (3.7),28.2 (3.6),28.8 (3.6),28.8 (3.2)
40,3.9,26.1 (3.8),27.4 (3.7),28.2 (3.6),28.8 (3.6),28.8 (3.2)
50,3.9,26.1 (3.8),27.4 (3.7),28.2 (3.6),28.8 (3.6),28.8 (3.2)
10,4,24.8 (3.6),26.0 (3.2),26.2 (3.0),27.0 (2.8),26.9 (2.7)
20,4,25.6 (3.7),26.8 (3.6),27.5 (3.5),28.1 (3.4),28.0 (3.1)
30,4,25.6 (3.7),26.9 (3.6),27.6 (3.5),28.2 (3.5),28.1 (3.1)
40,4,25.6 (3.7),26.9 (3.6),27.6 (3.5),28.2 (3.5),28.2 (3.1)
50,4,25.6 (3.7),26.9 (3.6),27.6 (3.5),28.2 (3.5),28.2 (3.1)
10,4.1,24.4 (3.6),25.7 (3.2),25.8 (2.9),26.6 (2.7),26.5 (2.6)
20,4.1,25.1 (3.6),26.4 (3.5),26.9 (3.4),27.6 (3.3),27.5 (3.0)
30,4.1,25.2 (3.6),26.4 (3.5),27.1 (3.5),27.7 (3.3),27.6 (3.0)
40,4.1,25.2 (3.6),26.4 (3.5),27.1 (3.4),27.7 (3.3),27.6 (3.0)
50,4.1,25.2 (3.6),26.5 (3.5),27.1 (3.4),27.7 (3.3),27.6 (3.0)
10,4.2,24.1 (3.6),25.3 (3.1),25.5 (2.8),26.2 (2.6),26.1 (2.5)
20,4.2,24.7 (3.6),25.9 (3.4),26.4 (3.3),27.2 (3.2),26.9 (2.9)
30,4.2,24.7 (3.6),26.0 (3.4),26.5 (3.3),27.2 (3.2),27.0 (2.9)
40,4.2,24.7 (3.6),26.0 (3.4),26.6 (3.3),27.2 (3.2),27.0 (2.9)
50,4.2,24.7 (3.6),26.0 (3.4),26.6 (3.3),27.3 (3.2),27.0 (2.9)
10,4.3,23.7 (3.5),25.0 (3.0),25.1 (2.8),25.8 (2.6),25.7 (2.5)
20,4.3,24.3 (3.5),25.5 (3.3),26.0 (3.2),26.7 (3.0),26.5 (2.8)
30,4.3,24.3 (3.5),25.6 (3.3),26.1 (3.2),26.8 (3.1),26.5 (2.8)
40,4.3,24.3 (3.5),25.6 (3.3),26.1 (3.2),26.8 (3.1),26.5 (2.8)
50,4.3,24.3 (3.5),25.6 (3.3),26.1 (3.2),26.8 (3.1),26.5 (2.8)
10,4.4,23.4 (3.5),24.6 (2.9),24.8 (2.7),25.5 (2.5),25.4 (2.4)
20,4.4,23.9 (3.5),25.1 (3.2),25.5 (3.1),26.3 (2.9),26.0 (2.7)
30,4.4,23.9 (3.5),25.2 (3.2),25.6 (3.1),26.3 (2.9),26.1 (2.7)
40,4.4,23.9 (3.5),25.2 (3.2),25.6 (3.1),26.3 (2.9),26.1 (2.7)
50,4.4,23.9 (3.5),25.2 (3.2),25.6 (3.1),26.4 (2.9),26.1 (2.7)
10,4.5,23.1 (3.4),24.3 (2.9),24.4 (2.6),25.1 (2.5),25.1 (2.4)
20,4.5,23.5 (3.4),24.8 (3.1),25.1 (2.9),25.8 (2.7),25.6 (2.7)
30,4.5,23.5 (3.4),24.8 (3.1),25.1 (2.9),25.9 (2.8),25.6 (2.7)
40,4.5,23.5 (3.4),24.8 (3.1),25.2 (2.9),25.9 (2.8),25.6 (2.7)
50,4.5,23.5 (3.4),24.8 (3.1),25.2 (2.9),25.9 (2.8),25.6 (2.7)
10,4.6,22.7 (3.4),24.0 (2.8),24.1 (2.5),24.8 (2.4),24.8 (2.3)
20,4.6,23.1 (3.4),24.4 (3.1),24.7 (2.8),25.4 (2.6),25.2 (2.6)
30,4.6,23.2 (3.4),24.4 (3.1),24.7 (2.8),25.4 (2.6),25.3 (2.6)
40,4.6,23.2 (3.4),24.4 (3.1),24.7 (2.8),25.4 (2.6),25.3 (2.6)
50,4.6,23.2 (3.4),24.4 (3.1),24.7 (2.8),25.5 (2.7),25.3 (2.6)
10,4.7,22.4 (3.3),23.7 (2.7),23.8 (2.5),24.4 (2.3),24.5 (2.3)
20,4.7,22.8 (3.3),24.1 (3.0),24.3 (2.6),25.0 (2.5),24.9 (2.6)
30,4.7,22.8 (3.3),24.1 (3.0),24.3 (2.7),25.0 (2.5),24.9 (2.6)
40,4.7,22.8 (3.3),24.1 (3.0),24.3 (2.7),25.0 (2.6),24.9 (2.6)
50,4.7,22.8 (3.3),24.1 (3.0),24.3 (2.7),25.0 (2.6),24.9 (2.6)
10,4.8,22.1 (3.2),23.4 (2.7),23.5 (2.4),24.1 (2.2),24.2 (2.3)
20,4.8,22.4 (3.3),23.7 (2.9),23.9 (2.6),24.6 (2.4),24.5 (2.5)
30,4.8,22.5 (3.3),23.8 (2.9),24.0 (2.6),24.6 (2.5),24.5 (2.5)
40,4.8,22.5 (3.3),23.8 (2.9),24.0 (2.6),24.6 (2.5),24.5 (2.5)
50,4.8,22.5 (3.3),23.8 (2.9),24.0 (2.6),24.6 (2.5),24.5 (2.5)
10,4.9,21.8 (3.2),23.1 (2.6),23.2 (2.4),23.8 (2.2),23.9 (2.2)
20,4.9,22.1 (3.2),23.4 (2.8),23.6 (2.5),24.2 (2.4),24.2 (2.4)
30,4.9,22.1 (3.2),23.4 (2.8),23.6 (2.5),24.2 (2.4),24.2 (2.4)
40,4.9,22.1 (3.2),23.4 (2.8),23.6 (2.5),24.2 (2.4),24.2 (2.4)
50,4.9,22.1 (3.2),23.5 (2.8),23.6 (2.5),24.2 (2.4),24.2 (2.4)
10,5,21.5 (3.2),22.8 (2.6),22.9 (2.3),23.5 (2.1),23.6 (2.2)
20,5,21.8 (3.2),23.1 (2.8),23.2 (2.5),23.9 (2.3),23.9 (2.4)
30,5,21.8 (3.2),23.1 (2.8),23.3 (2.5),23.9 (2.3),23.9 (2.4)
40,5,21.8 (3.2),23.1 (2.8),23.3 (2.5),23.9 (2.3),23.9 (2.4)
50,5,21.8 (3.2),23.1 (2.8),23.3 (2.5),23.9 (2.3),23.9 (2.4)
