N,m,\textbf{1},\textbf{2},\textbf{3},\textbf{4},\textbf{5}
150,2.2,52.0 (4.5),55.2 (4.1),57.0 (3.4),58.3 (2.7),59.2 (3.0)
200,2.2,52.0 (4.5),55.2 (4.2),57.0 (3.4),58.4 (2.7),59.2 (3.0)
250,2.2,52.0 (4.5),55.2 (4.2),57.0 (3.4),58.4 (2.7),59.2 (3.0)
300,2.2,52.0 (4.5),55.2 (4.2),57.0 (3.4),58.4 (2.7),59.2 (3.0)
50,2.3,50.4 (4.8),53.2 (4.4),55.0 (3.6),56.4 (2.9),57.2 (3.0)
100,2.3,50.5 (4.7),53.5 (4.4),55.2 (3.6),56.6 (3.0),57.4 (3.0)
150,2.3,50.5 (4.7),53.5 (4.4),55.3 (3.6),56.6 (3.0),57.5 (3.0)
200,2.3,50.5 (4.7),53.5 (4.4),55.3 (3.6),56.6 (3.0),57.5 (3.0)
250,2.3,50.5 (4.7),53.5 (4.4),55.3 (3.6),56.7 (3.0),57.5 (3.0)
300,2.3,50.5 (4.7),53.5 (4.4),55.3 (3.6),56.7 (3.0),57.5 (3.0)
50,2.4,48.8 (5.0),51.5 (4.6),53.2 (3.8),54.7 (3.1),55.3 (3.1)
100,2.4,48.9 (4.9),51.7 (4.6),53.4 (3.8),54.8 (3.2),55.6 (3.1)
150,2.4,48.9 (4.9),51.8 (4.6),53.4 (3.8),54.9 (3.2),55.6 (3.1)
200,2.4,48.9 (4.9),51.8 (4.6),53.4 (3.8),54.9 (3.2),55.6 (3.1)
250,2.4,48.9 (4.9),51.8 (4.6),53.4 (3.8),54.9 (3.2),55.6 (3.1)
300,2.4,48.9 (4.9),51.8 (4.5),53.4 (3.8),54.9 (3.2),55.6 (3.1)
50,2.5,47.1 (5.2),49.7 (4.6),51.3 (4.0),52.7 (3.4),53.3 (3.3)
100,2.5,47.2 (5.1),49.8 (4.6),51.4 (4.0),52.9 (3.4),53.5 (3.3)
150,2.5,47.2 (5.1),49.9 (4.6),51.4 (4.0),52.9 (3.4),53.5 (3.3)
200,2.5,47.2 (5.1),49.9 (4.6),51.4 (4.0),52.9 (3.4),53.5 (3.3)
250,2.5,47.2 (5.1),49.9 (4.6),51.4 (4.0),52.9 (3.4),53.5 (3.3)
300,2.5,47.2 (5.1),49.9 (4.6),51.4 (4.0),52.9 (3.4),53.6 (3.3)
50,2.6,45.2 (5.3),47.7 (4.7),49.2 (4.2),50.6 (3.7),51.1 (3.5)
100,2.6,45.3 (5.3),47.8 (4.7),49.3 (4.2),50.7 (3.7),51.3 (3.6)
150,2.6,45.3 (5.3),47.8 (4.7),49.3 (4.2),50.8 (3.7),51.3 (3.6)
200,2.6,45.2 (5.3),47.8 (4.7),49.3 (4.2),50.8 (3.7),51.3 (3.6)
250,2.6,45.2 (5.3),47.8 (4.7),49.3 (4.2),50.8 (3.7),51.3 (3.6)
300,2.6,45.2 (5.3),47.8 (4.7),49.3 (4.2),50.8 (3.7),51.3 (3.6)
50,2.7,43.2 (5.4),45.5 (4.7),46.7 (4.4),48.2 (3.8),48.7 (3.8)
100,2.7,43.2 (5.5),45.6 (4.7),46.8 (4.4),48.4 (3.8),48.8 (3.8)
150,2.7,43.2 (5.5),45.6 (4.7),46.8 (4.4),48.4 (3.8),48.8 (3.8)
200,2.7,43.2 (5.4),45.6 (4.7),46.8 (4.4),48.4 (3.8),48.8 (3.8)
250,2.7,43.2 (5.5),45.6 (4.7),46.8 (4.4),48.4 (3.8),48.8 (3.8)
300,2.7,43.2 (5.5),45.6 (4.7),46.8 (4.4),48.4 (3.8),48.8 (3.8)
50,2.8,41.1 (5.4),43.1 (4.6),44.0 (4.4),45.4 (3.8),45.8 (4.1)
100,2.8,41.2 (5.4),43.1 (4.6),44.1 (4.5),45.5 (3.8),45.9 (4.1)
150,2.8,41.2 (5.4),43.1 (4.6),44.1 (4.4),45.5 (3.8),45.9 (4.1)
200,2.8,41.2 (5.4),43.1 (4.6),44.1 (4.4),45.5 (3.8),45.9 (4.1)
250,2.8,41.2 (5.4),43.1 (4.6),44.1 (4.4),45.5 (3.8),45.9 (4.1)
300,2.8,41.2 (5.4),43.1 (4.6),44.1 (4.4),45.5 (3.8),45.9 (4.1)
50,2.9,39.1 (5.2),40.3 (4.6),41.0 (4.3),42.0 (3.6),42.4 (4.2)
100,2.9,39.2 (5.2),40.3 (4.6),41.1 (4.3),42.1 (3.6),42.5 (4.2)
150,2.9,39.2 (5.2),40.3 (4.6),41.1 (4.3),42.1 (3.6),42.5 (4.2)
200,2.9,39.2 (5.2),40.3 (4.6),41.1 (4.3),42.1 (3.6),42.5 (4.2)
250,2.9,39.2 (5.2),40.3 (4.6),41.1 (4.3),42.1 (3.6),42.5 (4.2)
300,2.9,39.2 (5.2),40.3 (4.6),41.1 (4.3),42.1 (3.6),42.5 (4.2)
50,3,37.0 (4.9),37.5 (4.4),38.2 (3.8),38.8 (3.5),39.1 (3.7)
