N,m,\textbf{1},\textbf{2},\textbf{3},\textbf{4},\textbf{5}
20,2.4,48.4 (5.1),51.2 (4.6),53.0 (3.8),54.2 (3.2),54.8 (3.1)
30,2.4,48.7 (5.1),51.4 (4.6),53.1 (3.8),54.4 (3.2),55.1 (3.1)
40,2.4,48.8 (5.0),51.5 (4.6),53.2 (3.8),54.6 (3.1),55.3 (3.1)
50,2.4,48.8 (5.0),51.5 (4.6),53.2 (3.8),54.7 (3.1),55.3 (3.1)
10,2.5,45.6 (5.2),48.3 (4.9),49.8 (4.0),51.1 (3.6),51.8 (3.1)
20,2.5,46.8 (5.2),49.4 (4.7),51.1 (4.0),52.3 (3.5),52.9 (3.3)
30,2.5,47.0 (5.2),49.6 (4.7),51.2 (4.0),52.6 (3.5),53.2 (3.3)
40,2.5,47.1 (5.2),49.6 (4.6),51.3 (4.0),52.7 (3.4),53.3 (3.3)
50,2.5,47.1 (5.2),49.7 (4.6),51.3 (4.0),52.7 (3.4),53.3 (3.3)
10,2.6,44.0 (5.3),46.4 (4.9),47.8 (4.1),49.2 (3.8),49.8 (3.4)
20,2.6,45.0 (5.3),47.5 (4.7),48.9 (4.2),50.3 (3.8),50.7 (3.5)
30,2.6,45.1 (5.3),47.6 (4.7),49.1 (4.2),50.5 (3.7),51.0 (3.6)
40,2.6,45.2 (5.3),47.7 (4.7),49.1 (4.2),50.6 (3.7),51.1 (3.5)
50,2.6,45.2 (5.3),47.7 (4.7),49.2 (4.2),50.6 (3.7),51.1 (3.5)
10,2.7,42.2 (5.3),44.4 (4.8),45.6 (4.3),47.0 (3.9),47.6 (3.6)
20,2.7,43.1 (5.4),45.3 (4.7),46.5 (4.4),47.9 (3.9),48.4 (3.8)
30,2.7,43.2 (5.4),45.4 (4.7),46.7 (4.4),48.1 (3.8),48.5 (3.9)
40,2.7,43.2 (5.4),45.5 (4.7),46.7 (4.4),48.2 (3.8),48.6 (3.8)
50,2.7,43.2 (5.4),45.5 (4.7),46.7 (4.4),48.2 (3.8),48.7 (3.8)
10,2.8,40.4 (5.2),42.1 (4.6),43.0 (4.3),44.4 (3.8),44.9 (3.9)
20,2.8,41.0 (5.3),42.9 (4.7),43.8 (4.4),45.2 (3.8),45.6 (4.1)
30,2.8,41.1 (5.4),43.0 (4.7),44.0 (4.4),45.3 (3.8),45.7 (4.1)
40,2.8,41.1 (5.4),43.0 (4.6),44.0 (4.4),45.4 (3.8),45.8 (4.1)
50,2.8,41.1 (5.4),43.1 (4.6),44.0 (4.4),45.4 (3.8),45.8 (4.1)
10,2.9,38.4 (5.0),39.5 (4.5),40.2 (4.0),41.2 (3.5),41.6 (3.9)
20,2.9,39.0 (5.2),40.1 (4.6),40.9 (4.2),41.9 (3.6),42.2 (4.1)
30,2.9,39.1 (5.2),40.2 (4.6),41.0 (4.2),41.9 (3.6),42.3 (4.2)
40,2.9,39.1 (5.2),40.2 (4.6),41.0 (4.3),42.0 (3.6),42.3 (4.2)
50,2.9,39.1 (5.2),40.3 (4.6),41.0 (4.3),42.0 (3.6),42.4 (4.2)
10,3,36.3 (4.8),36.8 (4.3),37.5 (3.6),38.2 (3.4),38.5 (3.5)
20,3,36.9 (4.9),37.4 (4.4),38.1 (3.7),38.7 (3.5),39.0 (3.7)
30,3,37.0 (4.9),37.5 (4.4),38.2 (3.7),38.7 (3.5),39.0 (3.7)
40,3,37.0 (4.9),37.5 (4.4),38.2 (3.8),38.8 (3.5),39.1 (3.7)
50,3,37.0 (4.9),37.5 (4.4),38.2 (3.8),38.8 (3.5),39.1 (3.7)
10,3.1,34.4 (4.6),35.0 (4.1),35.7 (3.3),36.2 (3.3),36.5 (3.1)
20,3.1,34.9 (4.7),35.3 (4.2),36.1 (3.4),36.6 (3.4),36.8 (3.2)
30,3.1,34.9 (4.7),35.4 (4.2),36.2 (3.4),36.6 (3.3),36.8 (3.2)
40,3.1,35.0 (4.7),35.4 (4.2),36.2 (3.3),36.6 (3.3),36.9 (3.2)
50,3.1,35.0 (4.7),35.4 (4.2),36.2 (3.3),36.6 (3.3),36.9 (3.2)
10,3.2,33.3 (4.4),33.8 (4.0),34.6 (3.1),34.9 (3.2),35.1 (2.8)
20,3.2,33.7 (4.5),34.0 (4.0),34.9 (3.1),35.2 (3.2),35.4 (3.0)
30,3.2,33.7 (4.5),34.1 (4.0),35.0 (3.1),35.2 (3.2),35.4 (2.9)
40,3.2,33.7 (4.5),34.1 (4.0),35.0 (3.1),35.3 (3.2),35.4 (3.0)
50,3.2,33.7 (4.5),34.1 (4.0),35.0 (3.1),35.3 (3.2),35.4 (3.0)
10,3.3,32.5 (4.4),32.8 (3.9),33.6 (2.9),33.8 (3.1),33.9 (2.6)
20,3.3,32.8 (4.4),33.0 (3.9),33.8 (2.9),34.0 (3.1),34.1 (2.7)
30,3.3,32.8 (4.4),33.0 (3.9),33.8 (2.9),34.1 (3.1),34.1 (2.7)
40,3.3,32.8 (4.4),33.0 (3.9),33.8 (2.9),34.1 (3.1),34.1 (2.7)
50,3.3,32.8 (4.4),33.0 (3.9),33.9 (2.9),34.1 (3.1),34.2 (2.7)
10,3.4,31.7 (4.3),31.8 (3.7),32.5 (2.8),32.7 (2.9),32.8 (2.4)
20,3.4,32.0 (4.4),32.0 (3.7),32.7 (2.8),32.9 (2.9),33.0 (2.5)
30,3.4,32.0 (4.4),32.0 (3.7),32.8 (2.7),32.9 (2.9),33.0 (2.5)
40,3.4,32.0 (4.4),32.0 (3.7),32.8 (2.7),32.9 (2.9),33.0 (2.5)
50,3.4,32.0 (4.4),32.0 (3.7),32.8 (2.7),32.9 (2.9),33.0 (2.5)
10,3.5,30.9 (4.2),30.9 (3.4),31.5 (2.6),31.6 (2.8),31.7 (2.3)
20,3.5,31.2 (4.3),31.1 (3.5),31.6 (2.6),31.8 (2.8),31.8 (2.4)
30,3.5,31.2 (4.3),31.1 (3.5),31.6 (2.6),31.8 (2.8),31.8 (2.4)
40,3.5,31.2 (4.3),31.1 (3.5),31.7 (2.6),31.8 (2.8),31.8 (2.4)
50,3.5,31.2 (4.3),31.1 (3.5),31.7 (2.6),31.8 (2.8),31.8 (2.4)
10,3.6,30.1 (4.1),30.0 (3.1),30.4 (2.5),30.6 (2.8),30.6 (2.2)
20,3.6,30.3 (4.2),30.1 (3.2),30.5 (2.5),30.7 (2.8),30.7 (2.2)
30,3.6,30.3 (4.2),30.1 (3.2),30.6 (2.5),30.7 (2.8),30.7 (2.2)
40,3.6,30.3 (4.2),30.1 (3.2),30.6 (2.5),30.7 (2.8),30.7 (2.2)
50,3.6,30.3 (4.2),30.1 (3.2),30.6 (2.5),30.7 (2.8),30.7 (2.2)
10,3.7,29.3 (4.0),29.0 (3.0),29.4 (2.4),29.5 (2.6),29.5 (2.0)
20,3.7,29.5 (4.1),29.1 (3.0),29.5 (2.4),29.6 (2.7),29.6 (2.1)
30,3.7,29.5 (4.1),29.1 (3.0),29.5 (2.4),29.6 (2.7),29.6 (2.1)
40,3.7,29.5 (4.1),29.1 (3.0),29.5 (2.4),29.6 (2.7),29.6 (2.1)
50,3.7,29.5 (4.1),29.1 (3.0),29.5 (2.4),29.6 (2.7),29.6 (2.1)
10,3.8,28.5 (3.8),28.1 (2.8),28.4 (2.3),28.6 (2.5),28.5 (1.9)
20,3.8,28.6 (3.9),28.1 (2.8),28.5 (2.3),28.6 (2.5),28.5 (2.0)
30,3.8,28.6 (3.9),28.2 (2.8),28.5 (2.3),28.6 (2.5),28.5 (2.0)
40,3.8,28.6 (3.9),28.2 (2.8),28.5 (2.3),28.6 (2.5),28.6 (2.0)
50,3.8,28.6 (3.9),28.2 (2.8),28.5 (2.3),28.6 (2.5),28.6 (2.0)
10,3.9,27.7 (3.6),27.2 (2.7),27.6 (2.2),27.7 (2.4),27.6 (1.8)
20,3.9,27.8 (3.7),27.3 (2.7),27.6 (2.2),27.7 (2.4),27.6 (1.9)
30,3.9,27.8 (3.7),27.3 (2.7),27.6 (2.2),27.7 (2.4),27.6 (1.9)
40,3.9,27.8 (3.7),27.3 (2.7),27.6 (2.2),27.7 (2.4),27.6 (1.9)
50,3.9,27.8 (3.7),27.3 (2.7),27.6 (2.2),27.7 (2.4),27.6 (1.9)
10,4,27.0 (3.5),26.4 (2.6),26.8 (2.1),26.8 (2.3),26.7 (1.8)
20,4,27.0 (3.5),26.5 (2.6),26.8 (2.1),26.8 (2.3),26.7 (1.8)
30,4,27.0 (3.5),26.5 (2.6),26.8 (2.1),26.8 (2.3),26.8 (1.8)
40,4,27.0 (3.5),26.5 (2.6),26.8 (2.1),26.8 (2.3),26.8 (1.8)
50,4,27.0 (3.5),26.5 (2.6),26.8 (2.1),26.8 (2.3),26.8 (1.8)
10,4.1,26.2 (3.3),25.6 (2.4),25.9 (2.0),25.9 (2.1),25.8 (1.7)
20,4.1,26.2 (3.4),25.6 (2.4),25.9 (2.0),25.9 (2.1),25.8 (1.7)
30,4.1,26.2 (3.4),25.6 (2.4),25.9 (2.0),25.9 (2.1),25.8 (1.7)
40,4.1,26.2 (3.4),25.6 (2.4),25.9 (2.0),25.9 (2.1),25.8 (1.7)
50,4.1,26.2 (3.4),25.6 (2.4),25.9 (2.0),25.9 (2.1),25.8 (1.7)
10,4.2,25.4 (3.2),24.8 (2.2),25.0 (1.9),25.1 (2.0),25.0 (1.6)
20,4.2,25.4 (3.2),24.9 (2.2),25.1 (1.9),25.1 (2.0),25.0 (1.6)
30,4.2,25.4 (3.2),24.9 (2.2),25.0 (1.9),25.1 (2.0),25.0 (1.6)
40,4.2,25.4 (3.2),24.9 (2.2),25.0 (1.9),25.1 (2.0),25.0 (1.6)
50,4.2,25.4 (3.2),24.9 (2.2),25.1 (1.9),25.1 (2.0),25.0 (1.6)
10,4.3,24.7 (3.0),24.2 (1.9),24.3 (1.7),24.3 (1.7),24.2 (1.5)
20,4.3,24.8 (3.1),24.2 (1.9),24.3 (1.7),24.3 (1.7),24.2 (1.5)
30,4.3,24.8 (3.1),24.2 (1.9),24.3 (1.7),24.3 (1.7),24.2 (1.5)
40,4.3,24.8 (3.1),24.2 (1.9),24.3 (1.7),24.3 (1.7),24.2 (1.5)
50,4.3,24.8 (3.1),24.2 (1.9),24.3 (1.7),24.3 (1.7),24.2 (1.5)
10,4.4,24.1 (2.9),23.5 (1.6),23.6 (1.5),23.6 (1.4),23.5 (1.4)
20,4.4,24.1 (2.9),23.5 (1.6),23.6 (1.5),23.6 (1.4),23.5 (1.4)
30,4.4,24.1 (2.9),23.5 (1.6),23.6 (1.5),23.6 (1.4),23.5 (1.4)
40,4.4,24.1 (2.9),23.5 (1.6),23.6 (1.5),23.6 (1.4),23.5 (1.4)
50,4.4,24.1 (2.9),23.5 (1.6),23.6 (1.5),23.6 (1.4),23.5 (1.4)
10,4.5,23.6 (2.7),22.9 (1.3),23.0 (1.3),23.0 (1.2),23.0 (1.3)
20,4.5,23.6 (2.8),22.9 (1.3),23.0 (1.3),23.0 (1.2),23.0 (1.3)
30,4.5,23.6 (2.8),22.9 (1.3),23.0 (1.3),23.0 (1.2),23.0 (1.3)
40,4.5,23.6 (2.8),22.9 (1.3),23.0 (1.3),23.0 (1.2),23.0 (1.3)
50,4.5,23.6 (2.8),22.9 (1.3),23.0 (1.3),23.0 (1.2),23.0 (1.3)
10,4.6,23.1 (2.5),22.5 (1.2),22.5 (1.1),22.6 (1.0),22.5 (1.2)
20,4.6,23.1 (2.6),22.5 (1.2),22.5 (1.1),22.6 (1.0),22.5 (1.2)
30,4.6,23.1 (2.6),22.5 (1.2),22.5 (1.1),22.6 (1.0),22.5 (1.2)
40,4.6,23.1 (2.6),22.5 (1.2),22.5 (1.1),22.6 (1.0),22.5 (1.2)
50,4.6,23.1 (2.6),22.5 (1.2),22.5 (1.1),22.6 (1.0),22.5 (1.2)
10,4.7,22.7 (2.4),22.2 (1.0),22.2 (1.0),22.2 (0.9),22.2 (1.1)
20,4.7,22.7 (2.4),22.2 (1.0),22.2 (1.0),22.2 (0.9),22.2 (1.1)
30,4.7,22.7 (2.4),22.2 (1.0),22.2 (1.0),22.2 (0.9),22.2 (1.1)
40,4.7,22.7 (2.4),22.2 (1.0),22.2 (1.0),22.2 (0.9),22.2 (1.1)
50,4.7,22.7 (2.4),22.2 (1.0),22.2 (1.0),22.2 (0.9),22.2 (1.1)
10,4.8,22.4 (2.2),21.9 (0.9),21.9 (0.9),22.0 (0.8),21.9 (0.9)
20,4.8,22.4 (2.3),21.9 (0.9),21.9 (0.9),22.0 (0.8),21.9 (1.0)
30,4.8,22.4 (2.3),21.9 (0.9),21.9 (0.9),22.0 (0.8),21.9 (1.0)
40,4.8,22.4 (2.3),21.9 (0.9),21.9 (0.9),22.0 (0.8),21.9 (1.0)
50,4.8,22.4 (2.3),21.9 (0.9),21.9 (0.9),22.0 (0.8),21.9 (1.0)
10,4.9,22.1 (2.1),21.6 (0.8),21.7 (0.9),21.7 (0.8),21.6 (0.8)
20,4.9,22.1 (2.1),21.6 (0.8),21.7 (0.9),21.7 (0.8),21.6 (0.8)
30,4.9,22.1 (2.1),21.6 (0.8),21.7 (0.9),21.7 (0.8),21.6 (0.8)
40,4.9,22.1 (2.1),21.6 (0.8),21.7 (0.9),21.7 (0.8),21.6 (0.8)
50,4.9,22.1 (2.1),21.6 (0.8),21.7 (0.9),21.7 (0.8),21.6 (0.8)
10,5,21.9 (1.9),21.4 (0.7),21.5 (0.8),21.5 (0.7),21.4 (0.5)
20,5,21.9 (1.9),21.4 (0.7),21.5 (0.8),21.5 (0.7),21.4 (0.6)
30,5,21.9 (1.9),21.4 (0.7),21.5 (0.8),21.5 (0.7),21.4 (0.6)
40,5,21.9 (1.9),21.4 (0.7),21.5 (0.8),21.5 (0.7),21.4 (0.6)
50,5,21.9 (1.9),21.4 (0.7),21.5 (0.8),21.5 (0.7),21.4 (0.6)
